# FULLY FILE-LESS REJECTED ROWS — reference only, NOT acted on (2026-07-21 21:25:55 local)
# These rejected rows have neither original nor thumbnail on disk.
# Original was deleted by design at rejection (scan.py:360); thumbnail also gone.
# Row deletion is a POLICY decision, explicitly OUT of scope. This list is for the record only.
# count=1229
# id	source	review	ident	category	species	never_reject
19941	file_upload	rejected	not_plant	plant	-	0
19942	file_upload	rejected	not_plant	plant	-	0
19943	file_upload	rejected	not_plant	plant	-	0
19944	file_upload	rejected	not_plant	plant	-	0
19945	file_upload	rejected	not_plant	plant	-	0
19946	file_upload	rejected	not_plant	plant	-	0
19947	file_upload	rejected	not_plant	plant	-	0
19948	file_upload	rejected	not_plant	plant	-	0
19949	file_upload	rejected	not_plant	plant	-	0
19950	file_upload	rejected	not_plant	plant	-	0
19952	file_upload	rejected	not_plant	plant	-	0
19953	file_upload	rejected	not_plant	plant	-	0
19954	file_upload	rejected	not_plant	plant	-	0
19955	file_upload	rejected	not_plant	plant	-	0
19960	file_upload	rejected	not_plant	plant	-	0
19961	file_upload	rejected	not_plant	plant	-	0
19963	file_upload	rejected	not_plant	plant	-	0
19964	file_upload	rejected	not_plant	plant	-	0
19965	file_upload	rejected	not_plant	plant	-	0
19966	file_upload	rejected	not_plant	plant	-	0
19967	file_upload	rejected	not_plant	plant	-	0
19968	file_upload	rejected	not_plant	plant	-	0
19969	file_upload	rejected	not_plant	plant	-	0
19975	file_upload	rejected	not_plant	plant	-	0
19976	file_upload	rejected	not_plant	plant	-	0
19977	file_upload	rejected	not_plant	plant	-	0
19978	file_upload	rejected	not_plant	plant	-	0
19979	file_upload	rejected	not_plant	plant	-	0
19980	file_upload	rejected	not_plant	plant	-	0
19982	file_upload	rejected	not_plant	plant	-	0
19983	file_upload	rejected	not_plant	plant	-	0
19985	file_upload	rejected	not_plant	plant	-	0
19986	file_upload	rejected	not_plant	plant	-	0
19987	file_upload	rejected	not_plant	plant	-	0
19988	file_upload	rejected	not_plant	plant	-	0
19989	file_upload	rejected	not_plant	plant	-	0
19990	file_upload	rejected	not_plant	plant	-	0
19991	file_upload	rejected	not_plant	plant	-	0
19993	file_upload	rejected	not_plant	plant	-	0
19994	file_upload	rejected	not_plant	plant	-	0
19996	file_upload	rejected	not_plant	plant	-	0
19998	file_upload	rejected	not_plant	plant	-	0
19999	file_upload	rejected	not_plant	plant	-	0
20003	file_upload	rejected	not_plant	plant	-	0
20004	file_upload	rejected	not_plant	plant	-	0
20005	file_upload	rejected	not_plant	plant	-	0
20006	file_upload	rejected	not_plant	plant	-	0
20007	file_upload	rejected	not_plant	plant	-	0
20008	file_upload	rejected	not_plant	plant	-	0
20009	file_upload	rejected	not_plant	plant	-	0
20010	file_upload	rejected	not_plant	plant	-	0
20011	file_upload	rejected	not_plant	plant	-	0
20012	file_upload	rejected	not_plant	plant	-	0
